STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00767,0,N/S,202401300600,202401301200,202402061200
00769,0,N/S,202401300600,202401301200,202402061200
00771,0,N/S,202401300600,202401301200,202402061200
00772,0,N/S,202401300600,202401301200,202402061200
00773,0,N/S,202401300600,202401301200,202402061200
00777,0,N/S,202401300600,202401301200,202402061200
00778,0,N/S,202401300600,202401301200,202402061200
00780,0,N/S,202401300600,202401301200,202402061200
00782,0,N/S,202401300600,202401301200,202402061200
00783,0,N/S,202401300600,202401301200,202402061200
00784,0,N/S,202401300600,202401301200,202402061200
00785,0,N/S,202401300600,202401301200,202402061200
00791,0,N/S,202401300600,202401301200,202402061200
00792,0,N/S,202401300600,202401301200,202402061200
00794,0,N/S,202401300600,202401301200,202402061200
00795,0,N/S,202401300600,202401301200,202402061200
00801,0,N/S,202401300600,202401301200,202402061200
00802,0,N/S,202401300600,202401301200,202402061200
00803,0,N/S,202401300600,202401301200,202402061200
00804,0,N/S,202401300600,202401301200,202402061200
00820,0,N/S,202401300600,202401301200,202402061200
00830,0,N/S,202401300600,202401301200,202402061200
00831,0,N/S,202401300600,202401301200,202402061200
00840,0,N/S,202401300600,202401301200,202402061200
00850,0,N/S,202401300600,202401301200,202402061200
00901,0,N/S,202401300600,202401301200,202402061200
00902,0,N/S,202401300600,202401301200,202402061200
00907,0,N/S,202401300600,202401301200,202402061200
00908,0,N/S,202401300600,202401301200,202402061200
00909,0,N/S,202401300600,202401301200,202402061200
00910,0,N/S,202401300600,202401301200,202402061200
00911,0,N/S,202401300600,202401301200,202402061200
00912,0,N/S,202401300600,202401301200,202402061200
00913,0,N/S,202401300600,202401301200,202402061200
00914,0,N/S,202401300600,202401301200,202402061200
00915,0,N/S,202401300600,202401301200,202402061200
00916,0,N/S,202401300600,202401301200,202402061200
00917,0,N/S,202401300600,202401301200,202402061200
00918,0,N/S,202401300600,202401301200,202402061200
00919,0,N/S,202401300600,202401301200,202402061200
00920,0,N/S,202401300600,202401301200,202402061200
00921,0,N/S,202401300600,202401301200,202402061200
00922,0,N/S,202401300600,202401301200,202402061200
00923,0,N/S,202401300600,202401301200,202402061200
00924,0,N/S,202401300600,202401301200,202402061200
00925,0,N/S,202401300600,202401301200,202402061200
00926,0,N/S,202401300600,202401301200,202402061200
