STD_ZIP5,STUSPS,category_x,event_index,category_y
44052,OH,TSTM,1.0,TSTM
44053,OH,TSTM,1.0,TSTM
44054,OH,TSTM,1.0,TSTM
44055,OH,TSTM,1.0,TSTM
44056,OH,TSTM,1.0,TSTM
44057,OH,TSTM,1.0,TSTM
44060,OH,TSTM,1.0,TSTM
44061,OH,TSTM,1.0,TSTM
44062,OH,TSTM,1.0,TSTM
44064,OH,TSTM,1.0,TSTM
44065,OH,TSTM,1.0,TSTM
44067,OH,TSTM,1.0,TSTM
44068,OH,TSTM,1.0,TSTM
44070,OH,TSTM,1.0,TSTM
44072,OH,TSTM,1.0,TSTM
44074,OH,TSTM,1.0,TSTM
44076,OH,TSTM,1.0,TSTM
44077,OH,TSTM,1.0,TSTM
44080,OH,TSTM,1.0,TSTM
44081,OH,TSTM,1.0,TSTM
44082,OH,TSTM,1.0,TSTM
44084,OH,TSTM,1.0,TSTM
44085,OH,TSTM,1.0,TSTM
44086,OH,TSTM,1.0,TSTM
44087,OH,TSTM,1.0,TSTM
44089,OH,TSTM,1.0,TSTM
44090,OH,TSTM,1.0,TSTM
44092,OH,TSTM,1.0,TSTM
44093,OH,TSTM,1.0,TSTM
44094,OH,TSTM,1.0,TSTM
44095,OH,TSTM,1.0,TSTM
44096,OH,TSTM,1.0,TSTM
44099,OH,TSTM,1.0,TSTM
44101,OH,TSTM,1.0,TSTM
44102,OH,TSTM,1.0,TSTM
44103,OH,TSTM,1.0,TSTM
44104,OH,TSTM,1.0,TSTM
44105,OH,TSTM,1.0,TSTM
44106,OH,TSTM,1.0,TSTM
44107,OH,TSTM,1.0,TSTM
44108,OH,TSTM,1.0,TSTM
44109,OH,TSTM,1.0,TSTM
44110,OH,TSTM,1.0,TSTM
44111,OH,TSTM,1.0,TSTM
44112,OH,TSTM,1.0,TSTM
44113,OH,TSTM,1.0,TSTM
44114,OH,TSTM,1.0,TSTM
44115,OH,TSTM,1.0,TSTM
44116,OH,TSTM,1.0,TSTM
44117,OH,TSTM,1.0,TSTM
44118,OH,TSTM,1.0,TSTM
44119,OH,TSTM,1.0,TSTM
44120,OH,TSTM,1.0,TSTM
44121,OH,TSTM,1.0,TSTM
44122,OH,TSTM,1.0,TSTM
44123,OH,TSTM,1.0,TSTM
44124,OH,TSTM,1.0,TSTM
44125,OH,TSTM,1.0,TSTM
44126,OH,TSTM,1.0,TSTM
44127,OH,TSTM,1.0,TSTM
44128,OH,TSTM,1.0,TSTM
44129,OH,TSTM,1.0,TSTM
44130,OH,TSTM,1.0,TSTM
44131,OH,TSTM,1.0,TSTM
44132,OH,TSTM,1.0,TSTM
44133,OH,TSTM,1.0,TSTM
44134,OH,TSTM,1.0,TSTM
44135,OH,TSTM,1.0,TSTM
44136,OH,TSTM,1.0,TSTM
44137,OH,TSTM,1.0,TSTM
44138,OH,TSTM,1.0,TSTM
44139,OH,TSTM,1.0,TSTM
44140,OH,TSTM,1.0,TSTM
44141,OH,TSTM,1.0,TSTM
44142,OH,TSTM,1.0,TSTM
44143,OH,TSTM,1.0,TSTM
44144,OH,TSTM,1.0,TSTM
44145,OH,TSTM,1.0,TSTM
44146,OH,TSTM,1.0,TSTM
44147,OH,TSTM,1.0,TSTM
44149,OH,TSTM,1.0,TSTM
44181,OH,TSTM,1.0,TSTM
44201,OH,TSTM,1.0,TSTM
44202,OH,TSTM,1.0,TSTM
44203,OH,TSTM,1.0,TSTM
44210,OH,TSTM,1.0,TSTM
44212,OH,TSTM,1.0,TSTM
44214,OH,TSTM,1.0,TSTM
44215,OH,TSTM,1.0,TSTM
44216,OH,TSTM,1.0,TSTM
44217,OH,TSTM,1.0,TSTM
44221,OH,TSTM,1.0,TSTM
44222,OH,TSTM,1.0,TSTM
44223,OH,TSTM,1.0,TSTM
44224,OH,TSTM,1.0,TSTM
44230,OH,TSTM,1.0,TSTM
44231,OH,TSTM,1.0,TSTM
44232,OH,TSTM,1.0,TSTM
44233,OH,TSTM,1.0,TSTM
44234,OH,TSTM,1.0,TSTM
44235,OH,TSTM,1.0,TSTM
44236,OH,TSTM,1.0,TSTM
44240,OH,TSTM,1.0,TSTM
44241,OH,TSTM,1.0,TSTM
44243,OH,TSTM,1.0,TSTM
44250,OH,TSTM,1.0,TSTM
44251,OH,TSTM,1.0,TSTM
44253,OH,TSTM,1.0,TSTM
44254,OH,TSTM,1.0,TSTM
44255,OH,TSTM,1.0,TSTM
44256,OH,TSTM,1.0,TSTM
44258,OH,TSTM,1.0,TSTM
44260,OH,TSTM,1.0,TSTM
44262,OH,TSTM,1.0,TSTM
44264,OH,TSTM,1.0,TSTM
44265,OH,TSTM,1.0,TSTM
44266,OH,TSTM,1.0,TSTM
44270,OH,TSTM,1.0,TSTM
44272,OH,TSTM,1.0,TSTM
44273,OH,TSTM,1.0,TSTM
44274,OH,TSTM,1.0,TSTM
44275,OH,TSTM,1.0,TSTM
44276,OH,TSTM,1.0,TSTM
44278,OH,TSTM,1.0,TSTM
44280,OH,TSTM,1.0,TSTM
44281,OH,TSTM,1.0,TSTM
