STD_ZIP5,STUSPS,category,event_index
84738,UT,LIMITED,1.0
84739,UT,MODERATE,3.0
84741,UT,LIMITED,1.0
84742,UT,MODERATE,3.0
84743,UT,MODERATE,3.0
84744,UT,MODERATE,3.0
84745,UT,LIMITED,1.0
84746,UT,LIMITED,1.0
84747,UT,MODERATE,3.0
84749,UT,MODERATE,3.0
84750,UT,MODERATE,3.0
84751,UT,MODERATE,3.0
84752,UT,MODERATE,3.0
84753,UT,MINOR,2.0
84754,UT,MODERATE,3.0
84755,UT,MINOR,2.0
84756,UT,MINOR,2.0
84757,UT,MINOR,2.0
84758,UT,MODERATE,3.0
84759,UT,MODERATE,3.0
84760,UT,MODERATE,3.0
84761,UT,MODERATE,3.0
84763,UT,MINOR,2.0
84764,UT,MODERATE,3.0
84765,UT,LIMITED,1.0
84766,UT,MODERATE,3.0
84767,UT,MODERATE,3.0
84770,UT,LIMITED,1.0
84771,UT,LIMITED,1.0
84772,UT,MODERATE,3.0
84773,UT,LIMITED,1.0
84774,UT,LIMITED,1.0
84775,UT,LIMITED,1.0
84776,UT,MODERATE,3.0
84779,UT,MINOR,2.0
84780,UT,LIMITED,1.0
84781,UT,MODERATE,3.0
84782,UT,MINOR,2.0
84783,UT,MINOR,2.0
84784,UT,LIMITED,1.0
84790,UT,LIMITED,1.0
84791,UT,LIMITED,1.0
85920,AZ,LIMITED,1.0
85927,AZ,LIMITED,1.0
85930,AZ,LIMITED,1.0
85932,AZ,LIMITED,1.0
85940,AZ,LIMITED,1.0
86001,AZ,LIMITED,1.0
86002,AZ,LIMITED,1.0
86003,AZ,LIMITED,1.0
86004,AZ,LIMITED,1.0
86005,AZ,LIMITED,1.0
86015,AZ,LIMITED,1.0
86017,AZ,LIMITED,1.0
86018,AZ,LIMITED,1.0
86021,AZ,LIMITED,1.0
86022,AZ,LIMITED,1.0
86023,AZ,LIMITED,1.0
86036,AZ,LIMITED,1.0
86046,AZ,LIMITED,1.0
86052,AZ,LIMITED,1.0
86432,AZ,MODERATE,3.0
86544,AZ,MINOR,2.0
87005,NM,LIMITED,1.0
87012,NM,LIMITED,1.0
87017,NM,LIMITED,1.0
87025,NM,LIMITED,1.0
87029,NM,LIMITED,1.0
87064,NM,LIMITED,1.0
87512,NM,LIMITED,1.0
87513,NM,LIMITED,1.0
87514,NM,LIMITED,1.0
87515,NM,LIMITED,1.0
87516,NM,LIMITED,1.0
87518,NM,LIMITED,1.0
87520,NM,LIMITED,1.0
87521,NM,LIMITED,1.0
87523,NM,LIMITED,1.0
87524,NM,LIMITED,1.0
87525,NM,LIMITED,1.0
87528,NM,LIMITED,1.0
87529,NM,LIMITED,1.0
87539,NM,LIMITED,1.0
87553,NM,LIMITED,1.0
87554,NM,LIMITED,1.0
87556,NM,LIMITED,1.0
87557,NM,LIMITED,1.0
87558,NM,LIMITED,1.0
87571,NM,LIMITED,1.0
87573,NM,LIMITED,1.0
87575,NM,LIMITED,1.0
87576,NM,LIMITED,1.0
87578,NM,LIMITED,1.0
87579,NM,LIMITED,1.0
87580,NM,LIMITED,1.0
87581,NM,LIMITED,1.0
89001,NV,MODERATE,3.0
89003,NV,LIMITED,1.0
89008,NV,MINOR,2.0
89010,NV,MODERATE,3.0
