STD_ZIP5,STUSPS,category,event_index
30504,GA,TSTM,1.0
30506,GA,TSTM,1.0
30507,GA,TSTM,1.0
30510,GA,TSTM,1.0
30511,GA,TSTM,1.0
30512,GA,TSTM,1.0
30513,GA,TSTM,1.0
30514,GA,TSTM,1.0
30515,GA,TSTM,1.0
30516,GA,TSTM,1.0
30517,GA,TSTM,1.0
30518,GA,TSTM,1.0
30519,GA,TSTM,1.0
30520,GA,TSTM,1.0
30521,GA,TSTM,1.0
30522,GA,TSTM,1.0
30523,GA,TSTM,1.0
30525,GA,TSTM,1.0
30527,GA,TSTM,1.0
30528,GA,TSTM,1.0
30529,GA,TSTM,1.0
30530,GA,TSTM,1.0
30531,GA,TSTM,1.0
30533,GA,TSTM,1.0
30534,GA,TSTM,1.0
30535,GA,TSTM,1.0
30536,GA,TSTM,1.0
30537,GA,TSTM,1.0
30538,GA,TSTM,1.0
30539,GA,TSTM,1.0
30540,GA,TSTM,1.0
30541,GA,TSTM,1.0
30542,GA,TSTM,1.0
30543,GA,TSTM,1.0
30545,GA,TSTM,1.0
30546,GA,TSTM,1.0
30547,GA,TSTM,1.0
30548,GA,TSTM,1.0
30549,GA,TSTM,1.0
30552,GA,TSTM,1.0
30553,GA,TSTM,1.0
30554,GA,TSTM,1.0
30555,GA,TSTM,1.0
30557,GA,TSTM,1.0
30558,GA,TSTM,1.0
30559,GA,TSTM,1.0
30560,GA,TSTM,1.0
30562,GA,TSTM,1.0
30563,GA,TSTM,1.0
30564,GA,TSTM,1.0
30565,GA,TSTM,1.0
30566,GA,TSTM,1.0
30567,GA,TSTM,1.0
30568,GA,TSTM,1.0
30571,GA,TSTM,1.0
30572,GA,TSTM,1.0
30573,GA,TSTM,1.0
30575,GA,TSTM,1.0
30576,GA,TSTM,1.0
30577,GA,TSTM,1.0
30582,GA,TSTM,1.0
30601,GA,TSTM,1.0
30603,GA,TSTM,1.0
30604,GA,TSTM,1.0
30605,GA,TSTM,1.0
30606,GA,TSTM,1.0
30607,GA,TSTM,1.0
30608,GA,TSTM,1.0
30609,GA,TSTM,1.0
30619,GA,TSTM,1.0
30620,GA,TSTM,1.0
30621,GA,TSTM,1.0
30622,GA,TSTM,1.0
30624,GA,TSTM,1.0
30625,GA,TSTM,1.0
30627,GA,TSTM,1.0
30628,GA,TSTM,1.0
30629,GA,TSTM,1.0
30630,GA,TSTM,1.0
30631,GA,TSTM,1.0
30633,GA,TSTM,1.0
30634,GA,TSTM,1.0
30635,GA,TSTM,1.0
30641,GA,TSTM,1.0
30642,GA,TSTM,1.0
30643,GA,TSTM,1.0
30646,GA,TSTM,1.0
30648,GA,TSTM,1.0
30650,GA,TSTM,1.0
30655,GA,TSTM,1.0
30656,GA,TSTM,1.0
30660,GA,TSTM,1.0
30662,GA,TSTM,1.0
30663,GA,TSTM,1.0
30666,GA,TSTM,1.0
30667,GA,TSTM,1.0
30668,GA,TSTM,1.0
30669,GA,TSTM,1.0
30673,GA,TSTM,1.0
30677,GA,TSTM,1.0
30678,GA,TSTM,1.0
30680,GA,TSTM,1.0
30683,GA,TSTM,1.0
30701,GA,TSTM,1.0
30703,GA,TSTM,1.0
