NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Caldwell Parish,LA,0,N/S,202401300600,202401301200,202402061200
Edmonson County,KY,0,N/S,202401300600,202401301200,202402061200
Bond County,IL,0,N/S,202401300600,202401301200,202402061200
Brown County,IL,0,N/S,202401300600,202401301200,202402061200
McLeod County,MN,0,N/S,202401300600,202401301200,202402061200
Dunn County,WI,0,N/S,202401300600,202401301200,202402061200
Custer County,CO,0,N/S,202401300600,202401301200,202402061200
Madison County,MO,0,N/S,202401300600,202401301200,202402061200
Nolan County,TX,0,N/S,202401300600,202401301200,202402061200
Wayne County,PA,0,N/S,202401300600,202401301200,202402061200
Saratoga County,NY,0,N/S,202401300600,202401301200,202402061200
Brazos County,TX,0,N/S,202401300600,202401301200,202402061200
Marshall County,OK,0,N/S,202401300600,202401301200,202402061200
Allegany County,MD,0,N/S,202401300600,202401301200,202402061200
Wetzel County,WV,0,N/S,202401300600,202401301200,202402061200
Jackson County,WI,0,N/S,202401300600,202401301200,202402061200
Clatsop County,OR,0,N/S,202401300600,202401301200,202402061200
Lewis County,WA,0,N/S,202401300600,202401301200,202402061200
Allegany County,NY,0,N/S,202401300600,202401301200,202402061200
Cedar County,IA,0,N/S,202401300600,202401301200,202402061200
Orange County,IN,0,N/S,202401300600,202401301200,202402061200
DeKalb County,GA,0,N/S,202401300600,202401301200,202402061200
Pickens County,GA,0,N/S,202401300600,202401301200,202402061200
Chouteau County,MT,0,N/S,202401300600,202401301200,202402061200
Brown County,NE,0,N/S,202401300600,202401301200,202402061200
Campbell County,TN,0,N/S,202401300600,202401301200,202402061200
Franklin County,NC,0,N/S,202401300600,202401301200,202402061200
Baltimore city,MD,0,N/S,202401300600,202401301200,202402061200
Lyon County,KS,0,N/S,202401300600,202401301200,202402061200
Carroll County,IA,0,N/S,202401300600,202401301200,202402061200
Tensas Parish,LA,0,N/S,202401300600,202401301200,202402061200
Monroe County,TN,0,N/S,202401300600,202401301200,202402061200
Hamilton County,KS,0,N/S,202401300600,202401301200,202402061200
Pocahontas County,IA,0,N/S,202401300600,202401301200,202402061200
Gem County,ID,0,N/S,202401300600,202401301200,202402061200
Independence County,AR,0,N/S,202401300600,202401301200,202402061200
Lonoke County,AR,0,N/S,202401300600,202401301200,202402061200
Newton County,IN,0,N/S,202401300600,202401301200,202402061200
Franklin County,GA,0,N/S,202401300600,202401301200,202402061200
Hendry County,FL,0,N/S,202401300600,202401301200,202402061200
Taliaferro County,GA,0,N/S,202401300600,202401301200,202402061200
Jefferson County,TX,0,N/S,202401300600,202401301200,202402061200
Meagher County,MT,0,N/S,202401300600,202401301200,202402061200
La Plata County,CO,0,N/S,202401300600,202401301200,202402061200
Bell County,TX,0,N/S,202401300600,202401301200,202402061200
Kemper County,MS,0,N/S,202401300600,202401301200,202402061200
Clark County,AR,0,N/S,202401300600,202401301200,202402061200
Klamath County,OR,0,N/S,202401300600,202401301200,202402061200
Oswego County,NY,0,N/S,202401300600,202401301200,202402061200
Naranjito Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Cherokee County,AL,0,N/S,202401300600,202401301200,202402061200
Bandera County,TX,0,N/S,202401300600,202401301200,202402061200
Rosebud County,MT,0,N/S,202401300600,202401301200,202402061200
Union County,NM,0,N/S,202401300600,202401301200,202402061200
Schoolcraft County,MI,0,N/S,202401300600,202401301200,202402061200
Ulster County,NY,0,N/S,202401300600,202401301200,202402061200
Camden County,NJ,0,N/S,202401300600,202401301200,202402061200
Jersey County,IL,0,N/S,202401300600,202401301200,202402061200
Hanover County,VA,0,N/S,202401300600,202401301200,202402061200
Wallace County,KS,0,N/S,202401300600,202401301200,202402061200
Alger County,MI,0,N/S,202401300600,202401301200,202402061200
Fulton County,AR,0,N/S,202401300600,202401301200,202402061200
Hidalgo County,TX,0,N/S,202401300600,202401301200,202402061200
Robeson County,NC,0,N/S,202401300600,202401301200,202402061200
Newaygo County,MI,0,N/S,202401300600,202401301200,202402061200
Morrow County,OR,0,N/S,202401300600,202401301200,202402061200
Todd County,MN,0,N/S,202401300600,202401301200,202402061200
Logan County,AR,0,N/S,202401300600,202401301200,202402061200
Lincoln County,NC,0,N/S,202401300600,202401301200,202402061200
Miller County,AR,0,N/S,202401300600,202401301200,202402061200
Orange County,FL,0,N/S,202401300600,202401301200,202402061200
San Juan County,CO,0,N/S,202401300600,202401301200,202402061200
Franklin County,ID,0,N/S,202401300600,202401301200,202402061200
Carroll County,GA,0,N/S,202401300600,202401301200,202402061200
Riley County,KS,0,N/S,202401300600,202401301200,202402061200
Schleicher County,TX,0,N/S,202401300600,202401301200,202402061200
Russell County,VA,0,N/S,202401300600,202401301200,202402061200
Caldwell County,NC,0,N/S,202401300600,202401301200,202402061200
Madison County,ID,0,N/S,202401300600,202401301200,202402061200
Warrick County,IN,0,N/S,202401300600,202401301200,202402061200
Adair County,KY,0,N/S,202401300600,202401301200,202402061200
Gallatin County,KY,0,N/S,202401300600,202401301200,202402061200
Harrison County,KY,0,N/S,202401300600,202401301200,202402061200
Sagadahoc County,ME,0,N/S,202401300600,202401301200,202402061200
Sweet Grass County,MT,0,N/S,202401300600,202401301200,202402061200
Grayson County,TX,0,N/S,202401300600,202401301200,202402061200
Greene County,PA,0,N/S,202401300600,202401301200,202402061200
Northwest Arctic Borough,AK,0,N/S,202401300600,202401301200,202402061200
Ellis County,KS,0,N/S,202401300600,202401301200,202402061200
Hale County,AL,0,N/S,202401300600,202401301200,202402061200
Perry County,AL,0,N/S,202401300600,202401301200,202402061200
Colbert County,AL,0,N/S,202401300600,202401301200,202402061200
Pratt County,KS,0,N/S,202401300600,202401301200,202402061200
Bourbon County,KY,0,N/S,202401300600,202401301200,202402061200
Rutherford County,TN,0,N/S,202401300600,202401301200,202402061200
Cook County,GA,0,N/S,202401300600,202401301200,202402061200
Lane County,KS,0,N/S,202401300600,202401301200,202402061200
Harper County,OK,0,N/S,202401300600,202401301200,202402061200
Piatt County,IL,0,N/S,202401300600,202401301200,202402061200
Crosby County,TX,0,N/S,202401300600,202401301200,202402061200
Fajardo Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Greene County,AL,0,N/S,202401300600,202401301200,202402061200
Clark County,ID,0,N/S,202401300600,202401301200,202402061200
Kossuth County,IA,0,N/S,202401300600,202401301200,202402061200
Yabucoa Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Burke County,ND,0,N/S,202401300600,202401301200,202402061200
Durham County,NC,0,N/S,202401300600,202401301200,202402061200
Harrison County,IA,0,N/S,202401300600,202401301200,202402061200
Keya Paha County,NE,0,N/S,202401300600,202401301200,202402061200
Webster County,IA,0,N/S,202401300600,202401301200,202402061200
Pope County,IL,0,N/S,202401300600,202401301200,202402061200
Smith County,TN,0,N/S,202401300600,202401301200,202402061200
Henry County,VA,0,N/S,202401300600,202401301200,202402061200
Alexandria city,VA,0,N/S,202401300600,202401301200,202402061200
Jefferson County,IA,0,N/S,202401300600,202401301200,202402061200
Lewis and Clark County,MT,0,N/S,202401300600,202401301200,202402061200
Duchesne County,UT,0,N/S,202401300600,202401301200,202402061200
Alfalfa County,OK,0,N/S,202401300600,202401301200,202402061200
Delta County,TX,0,N/S,202401300600,202401301200,202402061200
Trousdale County,TN,0,N/S,202401300600,202401301200,202402061200
Perry County,KY,0,N/S,202401300600,202401301200,202402061200
Deuel County,SD,0,N/S,202401300600,202401301200,202402061200
Jackson County,OR,0,N/S,202401300600,202401301200,202402061200
Hormigueros Municipio,PR,0,N/S,202401300600,202401301200,202402061200
Zavala County,TX,0,N/S,202401300600,202401301200,202402061200
Banner County,NE,0,N/S,202401300600,202401301200,202402061200
Madison County,IA,0,N/S,202401300600,202401301200,202402061200
Broward County,FL,0,N/S,202401300600,202401301200,202402061200
Toombs County,GA,0,N/S,202401300600,202401301200,202402061200
Sanilac County,MI,0,N/S,202401300600,202401301200,202402061200
Rockwall County,TX,0,N/S,202401300600,202401301200,202402061200
Wayne County,MI,0,N/S,202401300600,202401301200,202402061200
Nobles County,MN,0,N/S,202401300600,202401301200,202402061200
Aitkin County,MN,0,N/S,202401300600,202401301200,202402061200
Ramsey County,ND,0,N/S,202401300600,202401301200,202402061200
Person County,NC,0,N/S,202401300600,202401301200,202402061200
Trego County,KS,0,N/S,202401300600,202401301200,202402061200
Washington County,MS,0,N/S,202401300600,202401301200,202402061200
Eastland County,TX,0,N/S,202401300600,202401301200,202402061200
Issaquena County,MS,0,N/S,202401300600,202401301200,202402061200
DeWitt County,TX,0,N/S,202401300600,202401301200,202402061200
Angelina County,TX,0,N/S,202401300600,202401301200,202402061200
Saluda County,SC,0,N/S,202401300600,202401301200,202402061200
Maries County,MO,0,N/S,202401300600,202401301200,202402061200
Arkansas County,AR,0,N/S,202401300600,202401301200,202402061200
Lawrence County,MO,0,N/S,202401300600,202401301200,202402061200
Charlottesville city,VA,0,N/S,202401300600,202401301200,202402061200
Bureau County,IL,0,N/S,202401300600,202401301200,202402061200
Scioto County,OH,0,N/S,202401300600,202401301200,202402061200
Madison County,NC,0,N/S,202401300600,202401301200,202402061200
Jerome County,ID,0,N/S,202401300600,202401301200,202402061200
Vinton County,OH,0,N/S,202401300600,202401301200,202402061200
McLennan County,TX,0,N/S,202401300600,202401301200,202402061200
Custer County,ID,0,N/S,202401300600,202401301200,202402061200
Howard County,IA,0,N/S,202401300600,202401301200,202402061200
Palm Beach County,FL,0,N/S,202401300600,202401301200,202402061200
