STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
19123,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19124,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19125,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19126,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19127,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19128,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19129,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19130,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19131,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19132,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19133,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19134,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19135,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19136,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19137,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19138,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19139,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19140,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19141,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19142,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19143,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19144,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19145,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19146,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19147,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19148,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19149,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19150,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19151,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19152,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19153,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19154,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19160,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19301,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19310,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19311,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19312,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19317,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19319,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19320,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19330,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19331,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19333,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19335,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19341,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19342,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19343,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19344,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19348,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19350,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19352,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19355,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19358,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19362,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19363,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19365,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
