STD_ZIP5,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
01021,MA,0,N/S,202402150600,202402150100,202402221200
01022,MA,0,N/S,202402150600,202402150100,202402221200
01026,MA,0,N/S,202402150600,202402150100,202402221200
01027,MA,0,N/S,202402150600,202402150100,202402221200
01028,MA,0,N/S,202402150600,202402150100,202402221200
01030,MA,0,N/S,202402150600,202402150100,202402221200
01031,MA,0,N/S,202402150600,202402150100,202402221200
01032,MA,0,N/S,202402150600,202402150100,202402221200
01033,MA,0,N/S,202402150600,202402150100,202402221200
01034,MA,0,N/S,202402150600,202402150100,202402221200
01035,MA,0,N/S,202402150600,202402150100,202402221200
01036,MA,0,N/S,202402150600,202402150100,202402221200
01038,MA,0,N/S,202402150600,202402150100,202402221200
01039,MA,0,N/S,202402150600,202402150100,202402221200
01040,MA,0,N/S,202402150600,202402150100,202402221200
01041,MA,0,N/S,202402150600,202402150100,202402221200
01050,MA,0,N/S,202402150600,202402150100,202402221200
01053,MA,0,N/S,202402150600,202402150100,202402221200
01054,MA,0,N/S,202402150600,202402150100,202402221200
01056,MA,0,N/S,202402150600,202402150100,202402221200
01057,MA,0,N/S,202402150600,202402150100,202402221200
01060,MA,0,N/S,202402150600,202402150100,202402221200
01061,MA,0,N/S,202402150600,202402150100,202402221200
01062,MA,0,N/S,202402150600,202402150100,202402221200
01068,MA,0,N/S,202402150600,202402150100,202402221200
01069,MA,0,N/S,202402150600,202402150100,202402221200
01070,MA,0,N/S,202402150600,202402150100,202402221200
01071,MA,0,N/S,202402150600,202402150100,202402221200
01072,MA,0,N/S,202402150600,202402150100,202402221200
01073,MA,0,N/S,202402150600,202402150100,202402221200
01075,MA,0,N/S,202402150600,202402150100,202402221200
01077,MA,0,N/S,202402150600,202402150100,202402221200
01080,MA,0,N/S,202402150600,202402150100,202402221200
01081,MA,0,N/S,202402150600,202402150100,202402221200
01082,MA,0,N/S,202402150600,202402150100,202402221200
01084,MA,0,N/S,202402150600,202402150100,202402221200
01085,MA,0,N/S,202402150600,202402150100,202402221200
01088,MA,0,N/S,202402150600,202402150100,202402221200
01089,MA,0,N/S,202402150600,202402150100,202402221200
01090,MA,0,N/S,202402150600,202402150100,202402221200
01095,MA,0,N/S,202402150600,202402150100,202402221200
01096,MA,0,N/S,202402150600,202402150100,202402221200
01098,MA,0,N/S,202402150600,202402150100,202402221200
01101,MA,0,N/S,202402150600,202402150100,202402221200
01103,MA,0,N/S,202402150600,202402150100,202402221200
01104,MA,0,N/S,202402150600,202402150100,202402221200
01105,MA,0,N/S,202402150600,202402150100,202402221200
01106,MA,0,N/S,202402150600,202402150100,202402221200
01107,MA,0,N/S,202402150600,202402150100,202402221200
01108,MA,0,N/S,202402150600,202402150100,202402221200
01109,MA,0,N/S,202402150600,202402150100,202402221200
01116,MA,0,N/S,202402150600,202402150100,202402221200
01118,MA,0,N/S,202402150600,202402150100,202402221200
01119,MA,0,N/S,202402150600,202402150100,202402221200
01128,MA,0,N/S,202402150600,202402150100,202402221200
01129,MA,0,N/S,202402150600,202402150100,202402221200
01138,MA,0,N/S,202402150600,202402150100,202402221200
01139,MA,0,N/S,202402150600,202402150100,202402221200
01151,MA,0,N/S,202402150600,202402150100,202402221200
01201,MA,0,N/S,202402150600,202402150100,202402221200
01202,MA,0,N/S,202402150600,202402150100,202402221200
01220,MA,0,N/S,202402150600,202402150100,202402221200
01222,MA,0,N/S,202402150600,202402150100,202402221200
01223,MA,0,N/S,202402150600,202402150100,202402221200
01224,MA,0,N/S,202402150600,202402150100,202402221200
01225,MA,0,N/S,202402150600,202402150100,202402221200
01226,MA,0,N/S,202402150600,202402150100,202402221200
01227,MA,0,N/S,202402150600,202402150100,202402221200
01230,MA,0,N/S,202402150600,202402150100,202402221200
01235,MA,0,N/S,202402150600,202402150100,202402221200
01236,MA,0,N/S,202402150600,202402150100,202402221200
01237,MA,0,N/S,202402150600,202402150100,202402221200
01238,MA,0,N/S,202402150600,202402150100,202402221200
01240,MA,0,N/S,202402150600,202402150100,202402221200
01245,MA,0,N/S,202402150600,202402150100,202402221200
01247,MA,0,N/S,202402150600,202402150100,202402221200
01253,MA,0,N/S,202402150600,202402150100,202402221200
01254,MA,0,N/S,202402150600,202402150100,202402221200
01255,MA,0,N/S,202402150600,202402150100,202402221200
01256,MA,0,N/S,202402150600,202402150100,202402221200
01257,MA,0,N/S,202402150600,202402150100,202402221200
01258,MA,0,N/S,202402150600,202402150100,202402221200
01259,MA,0,N/S,202402150600,202402150100,202402221200
01266,MA,0,N/S,202402150600,202402150100,202402221200
01267,MA,0,N/S,202402150600,202402150100,202402221200
01270,MA,0,N/S,202402150600,202402150100,202402221200
01301,MA,0,N/S,202402150600,202402150100,202402221200
01302,MA,0,N/S,202402150600,202402150100,202402221200
01330,MA,0,N/S,202402150600,202402150100,202402221200
01331,MA,0,N/S,202402150600,202402150100,202402221200
01337,MA,0,N/S,202402150600,202402150100,202402221200
01338,MA,0,N/S,202402150600,202402150100,202402221200
01339,MA,0,N/S,202402150600,202402150100,202402221200
