NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Coffee County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Shelby County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Canyon County,ID,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Daniels County,MT,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Leon County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Payne County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Covington County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lawrence County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Gray County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Casey County,KY,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Metcalfe County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Russell County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Beauregard Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Somerset County,ME,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Cimarron County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Meade County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Nelson County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
