NAMELSAD,STUSPS,category,event_index
Rice County,MN,TSTM,1.0
Macon County,NC,TSTM,1.0
Geneva County,AL,TSTM,1.0
Boise County,ID,TSTM,1.0
Monroe County,WI,TSTM,1.0
Perquimans County,NC,TSTM,1.0
Hamilton County,FL,TSTM,1.0
Levy County,FL,TSTM,1.0
Hancock County,MS,TSTM,1.0
Wilcox County,GA,TSTM,1.0
Towns County,GA,TSTM,1.0
Payette County,ID,TSTM,1.0
Hyde County,NC,TSTM,1.0
Marion County,SC,TSTM,1.0
Dooly County,GA,TSTM,1.0
Dale County,AL,TSTM,1.0
Madera County,CA,TSTM,1.0
Santa Clara County,CA,TSTM,1.0
Charleston County,SC,TSTM,1.0
Tehama County,CA,TSTM,1.0
Pulaski County,GA,TSTM,1.0
Bertie County,NC,TSTM,1.0
Rhea County,TN,TSTM,1.0
Greene County,NC,TSTM,1.0
Coffee County,GA,TSTM,1.0
Ware County,GA,TSTM,1.0
Jefferson Parish,LA,TSTM,1.0
New Hanover County,NC,TSTM,1.0
Garfield County,WA,TSTM,1.0
Pitt County,NC,TSTM,1.0
Appling County,GA,TSTM,1.0
Polk County,FL,TSTM,1.0
Tallapoosa County,AL,TSTM,1.0
Fulton County,GA,TSTM,1.0
Colleton County,SC,TSTM,1.0
Burnett County,WI,TSTM,1.0
Pacific County,WA,TSTM,1.0
Pender County,NC,TSTM,1.0
Storey County,NV,TSTM,1.0
Schley County,GA,TSTM,1.0
San Joaquin County,CA,TSTM,1.0
Clarke County,AL,TSTM,1.0
Houston County,AL,TSTM,1.0
Hampton County,SC,TSTM,1.0
Fremont County,ID,TSTM,1.0
Bryan County,GA,TSTM,1.0
St. Lucie County,FL,TSTM,1.0
Chippewa County,WI,TSTM,1.0
Clinch County,GA,TSTM,1.0
Lowndes County,GA,TSTM,1.0
Turner County,GA,TSTM,1.0
Okaloosa County,FL,TSTM,1.0
Alameda County,CA,TSTM,1.0
Polk County,OR,TSTM,1.0
Washington County,AL,TSTM,1.0
Randolph County,GA,TSTM,1.0
Madison County,AL,TSTM,1.0
Onslow County,NC,TSTM,1.0
Crenshaw County,AL,TSTM,1.0
Jeff Davis County,GA,TSTM,1.0
Columbia County,FL,TSTM,1.0
Holmes County,FL,TSTM,1.0
Harrison County,MS,TSTM,1.0
Bradley County,TN,TSTM,1.0
