NAMELSAD,STUSPS,category_x,event_index,category_y
Salt Lake County,UT,TSTM,1.0,TSTM
Tuscarawas County,OH,TSTM,1.0,TSTM
Knox County,IN,TSTM,1.0,TSTM
Hillsdale County,MI,TSTM,1.0,TSTM
Gasconade County,MO,TSTM,1.0,TSTM
Pulaski County,IN,TSTM,1.0,TSTM
St. Charles County,MO,TSTM,1.0,TSTM
Columbia County,OR,TSTM,1.0,TSTM
Brown County,IN,TSTM,1.0,TSTM
Grundy County,IL,TSTM,1.0,TSTM
Crawford County,MO,TSTM,1.0,TSTM
Lafayette County,MO,TSTM,1.0,TSTM
Morrow County,OH,TSTM,1.0,TSTM
Ste. Genevieve County,MO,TSTM,1.0,TSTM
McDonough County,IL,TSTM,1.0,TSTM
Clark County,MO,TSTM,1.0,TSTM
Worth County,MO,TSTM,1.0,TSTM
Gratiot County,MI,TSTM,1.0,TSTM
Massac County,IL,TSTM,1.0,TSTM
Morgan County,IN,TSTM,1.0,TSTM
Grant County,IN,TSTM,1.0,TSTM
Henry County,IL,TSTM,1.0,TSTM
Lincoln County,OR,TSTM,1.0,TSTM
Clay County,AR,TSTM,1.0,TSTM
Greene County,IL,TSTM,1.0,TSTM
St. Joseph County,IN,TSTM,1.0,TSTM
Phelps County,MO,TSTM,1.0,TSTM
Starke County,IN,TSTM,1.0,TSTM
Hickory County,MO,TSTM,1.0,TSTM
Randolph County,IL,TSTM,1.0,TSTM
Marion County,OH,TSTM,1.0,TSTM
Pike County,IL,TSTM,1.0,TSTM
Woodford County,IL,TSTM,1.0,TSTM
Perry County,IL,TSTM,1.0,TSTM
Routt County,CO,TSTM,1.0,TSTM
Johnson County,IL,TSTM,1.0,TSTM
Erie County,PA,TSTM,1.0,TSTM
Fountain County,IN,TSTM,1.0,TSTM
Shelby County,IL,TSTM,1.0,TSTM
Fayette County,IL,TSTM,1.0,TSTM
Polk County,MO,TSTM,1.0,TSTM
Genesee County,MI,TSTM,1.0,TSTM
Tipton County,IN,TSTM,1.0,TSTM
Caldwell County,MO,TSTM,1.0,TSTM
Lewis County,MO,TSTM,1.0,TSTM
Moultrie County,IL,TSTM,1.0,TSTM
Calhoun County,MI,TSTM,1.0,TSTM
Cass County,IL,TSTM,1.0,TSTM
Sangamon County,IL,TSTM,1.0,TSTM
Ripley County,MO,TSTM,1.0,TSTM
Tazewell County,IL,TSTM,1.0,TSTM
Sharp County,AR,TSTM,1.0,TSTM
Warren County,MO,TSTM,1.0,TSTM
LaSalle County,IL,TSTM,1.0,TSTM
Davis County,IA,TSTM,1.0,TSTM
Delaware County,IN,TSTM,1.0,TSTM
Jackson County,MO,TSTM,1.0,TSTM
Stoddard County,MO,TSTM,1.0,TSTM
Pulaski County,MO,TSTM,1.0,TSTM
Gentry County,MO,TSTM,1.0,TSTM
Adair County,MO,TSTM,1.0,TSTM
Erie County,OH,TSTM,1.0,TSTM
Vermilion County,IL,TSTM,1.0,TSTM
St. Louis County,MO,TSTM,1.0,TSTM
Morgan County,IL,TSTM,1.0,TSTM
Marshall County,IL,TSTM,1.0,TSTM
Huron County,MI,TSTM,1.0,TSTM
Lorain County,OH,TSTM,1.0,TSTM
Ionia County,MI,TSTM,1.0,TSTM
Wright County,MO,TSTM,1.0,TSTM
Audrain County,MO,TSTM,1.0,TSTM
Greene County,AR,TSTM,1.0,TSTM
Pacific County,WA,TSTM,1.0,TSTM
Ballard County,KY,TSTM,1.0,TSTM
Macomb County,MI,TSTM,1.0,TSTM
Jasper County,IL,TSTM,1.0,TSTM
Calhoun County,IL,TSTM,1.0,TSTM
Kosciusko County,IN,TSTM,1.0,TSTM
Polk County,OR,TSTM,1.0,TSTM
Defiance County,OH,TSTM,1.0,TSTM
Marion County,IL,TSTM,1.0,TSTM
Warren County,IL,TSTM,1.0,TSTM
Cooper County,MO,TSTM,1.0,TSTM
Will County,IL,TSTM,1.0,TSTM
Clay County,MO,TSTM,1.0,TSTM
Boone County,IN,TSTM,1.0,TSTM
Des Moines County,IA,TSTM,1.0,TSTM
Jay County,IN,TSTM,1.0,TSTM
Sandusky County,OH,TSTM,1.0,TSTM
Pulaski County,IL,TSTM,1.0,TSTM
Saginaw County,MI,TSTM,1.0,TSTM
Madison County,IL,TSTM,1.0,TSTM
Sullivan County,MO,TSTM,1.0,TSTM
Montgomery County,OH,TSTM,1.0,TSTM
Bay County,MI,TSTM,1.0,TSTM
San Juan County,WA,TSTM,1.0,TSTM
Lee County,IA,TSTM,1.0,TSTM
Linn County,MO,TSTM,1.0,TSTM
Grays Harbor County,WA,TSTM,1.0,TSTM
Monroe County,IL,TSTM,1.0,TSTM
Cowlitz County,WA,TSTM,1.0,TSTM
Moniteau County,MO,TSTM,1.0,TSTM
Auglaize County,OH,TSTM,1.0,TSTM
Callaway County,MO,TSTM,1.0,TSTM
Alexander County,IL,TSTM,1.0,TSTM
Jefferson County,MO,TSTM,1.0,TSTM
Lincoln County,MO,TSTM,1.0,TSTM
Texas County,MO,TSTM,1.0,TSTM
Geauga County,OH,TSTM,1.0,TSTM
Lincoln County,NV,TSTM,1.0,TSTM
Sullivan County,IN,TSTM,1.0,TSTM
Monroe County,MI,TSTM,1.0,TSTM
White County,IN,TSTM,1.0,TSTM
Noble County,IN,TSTM,1.0,TSTM
Utah County,UT,TSTM,1.0,TSTM
Clay County,IN,TSTM,1.0,TSTM
Morgan County,MO,TSTM,1.0,TSTM
Holmes County,OH,TSTM,1.0,TSTM
Saline County,IL,TSTM,1.0,TSTM
Kalamazoo County,MI,TSTM,1.0,TSTM
Daviess County,IN,TSTM,1.0,TSTM
Greene County,MO,TSTM,1.0,TSTM
Jackson County,CO,TSTM,1.0,TSTM
Carter County,MO,TSTM,1.0,TSTM
Cape Girardeau County,MO,TSTM,1.0,TSTM
Mississippi County,MO,TSTM,1.0,TSTM
